4         Threads
15        Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1737.69          ---          ---      3.37800       166.30 
Gets        17357.84     17357.84         0.00      3.10500      1627.30 
Waits           0.00          ---          ---      0.00000          --- 
Totals      19095.54     17357.84         0.00      3.13000      1793.60 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.770         0.00
SET       0.820         0.00
SET       1.400         0.01
SET       1.500         0.01
SET       1.600         0.04
SET       1.700         0.12
SET       1.800         0.32
SET       1.900         0.83
SET       2.000         1.85
SET       2.100         3.50
SET       2.200         6.09
SET       2.300         9.59
SET       2.400        13.61
SET       2.500        18.22
SET       2.600        23.03
SET       2.700        28.04
SET       2.800        33.05
SET       2.900        37.84
SET       3.000        42.40
SET       3.100        47.10
SET       3.200        51.55
SET       3.300        55.88
SET       3.400        60.22
SET       3.500        64.48
SET       3.600        68.40
SET       3.700        72.05
SET       3.800        75.29
SET       3.900        78.19
SET       4.000        80.77
SET       4.100        83.11
SET       4.200        85.11
SET       4.300        86.88
SET       4.400        88.43
SET       4.500        89.81
SET       4.600        90.95
SET       4.700        91.96
SET       4.800        92.86
SET       4.900        93.71
SET       5.000        94.38
SET       5.100        95.02
SET       5.200        95.55
SET       5.300        96.07
SET       5.400        96.54
SET       5.500        96.96
SET       5.600        97.29
SET       5.700        97.58
SET       5.800        97.80
SET       5.900        98.03
SET       6.000        98.27
SET       6.100        98.48
SET       6.200        98.64
SET       6.300        98.77
SET       6.400        98.92
SET       6.500        99.03
SET       6.600        99.12
SET       6.700        99.24
SET       6.800        99.35
SET       6.900        99.41
SET       7.000        99.49
SET       7.100        99.56
SET       7.200        99.61
SET       7.300        99.66
SET       7.400        99.71
SET       7.500        99.73
SET       7.600        99.76
SET       7.700        99.78
SET       7.800        99.80
SET       7.900        99.82
SET       8.000        99.84
SET       8.100        99.85
SET       8.200        99.86
SET       8.300        99.86
SET       8.400        99.87
SET       8.500        99.88
SET       8.600        99.88
SET       8.900        99.89
SET       9.100        99.89
SET       9.200        99.89
SET       9.300        99.90
SET       9.400        99.90
SET       9.500        99.91
SET       9.700        99.91
SET       9.800        99.91
SET       9.900        99.92
SET      10.000        99.92
SET      11.000        99.94
SET      13.000        99.94
SET      14.000        99.97
SET      15.000        99.97
SET      16.000        99.99
SET      17.000        99.99
SET      19.000       100.00
---
GET       0.220         0.00
GET       0.250         0.00
GET       0.260         0.00
GET       0.290         0.00
GET       0.330         0.00
GET       0.340         0.00
GET       0.360         0.00
GET       0.400         0.00
GET       0.410         0.00
GET       0.420         0.00
GET       0.430         0.00
GET       0.460         0.00
GET       0.500         0.00
GET       0.510         0.00
GET       0.520         0.00
GET       0.530         0.00
GET       0.540         0.01
