4         Threads
1         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          540.99          ---          ---      1.38900        51.83 
Gets         5407.53      5179.43       228.10      0.59100       499.55 
Waits           0.00          ---          ---      0.00000          --- 
Totals       5948.52      5179.43       228.10      0.66300       551.38 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.610         0.02
SET       0.640         0.06
SET       0.660         0.09
SET       0.670         0.15
SET       0.680         0.22
SET       0.690         0.28
SET       0.700         0.41
SET       0.710         0.50
SET       0.720         0.65
SET       0.730         0.94
SET       0.740         1.24
SET       0.750         1.70
SET       0.760         2.14
SET       0.770         2.57
SET       0.780         3.16
SET       0.790         3.79
SET       0.800         4.47
SET       0.810         5.25
SET       0.820         6.01
SET       0.830         6.77
SET       0.840         7.71
SET       0.850         8.74
SET       0.860         9.70
SET       0.870        10.78
SET       0.880        12.18
SET       0.890        13.49
SET       0.900        14.47
SET       0.910        15.88
SET       0.920        16.99
SET       0.930        18.47
SET       0.940        19.63
SET       0.950        20.81
SET       0.960        22.29
SET       0.970        23.44
SET       0.980        24.68
SET       0.990        25.91
SET       1.000        31.63
SET       1.100        39.50
SET       1.200        46.88
SET       1.300        55.67
SET       1.400        65.16
SET       1.500        72.51
SET       1.600        77.21
SET       1.700        80.59
SET       1.800        83.48
SET       1.900        86.14
SET       2.000        89.02
SET       2.100        91.29
SET       2.200        92.96
SET       2.300        94.94
SET       2.400        96.23
SET       2.500        96.93
SET       2.600        97.28
SET       2.700        97.82
SET       2.800        98.26
SET       2.900        98.37
SET       3.000        98.65
SET       3.100        98.80
SET       3.200        98.91
SET       3.300        99.08
SET       3.400        99.21
SET       3.500        99.35
SET       3.600        99.48
SET       3.700        99.54
SET       3.800        99.59
SET       3.900        99.65
SET       4.000        99.70
SET       4.100        99.78
SET       4.200        99.80
SET       4.500        99.85
SET       4.600        99.87
SET       4.900        99.89
SET       5.100        99.91
SET       5.200        99.94
SET       5.700        99.96
SET       7.200        99.98
SET      12.000       100.00
---
GET       0.150         0.00
GET       0.160         0.02
GET       0.170         0.07
GET       0.180         0.21
GET       0.190         0.55
GET       0.200         1.11
GET       0.210         2.01
GET       0.220         3.19
GET       0.230         4.80
GET       0.240         6.58
GET       0.250         8.79
GET       0.260        11.20
GET       0.270        13.75
GET       0.280        16.44
GET       0.290        19.22
GET       0.300        22.00
GET       0.310        24.93
GET       0.320        27.82
GET       0.330        30.84
GET       0.340        33.61
GET       0.350        36.28
GET       0.360        39.14
GET       0.370        41.74
GET       0.380        44.34
GET       0.390        46.80
GET       0.400        49.10
GET       0.410        51.31
GET       0.420        53.30
GET       0.430        55.24
GET       0.440        56.90
GET       0.450        58.44
GET       0.460        59.92
GET       0.470        61.35
GET       0.480        62.67
GET       0.490        63.77
GET       0.500        64.84
GET       0.510        65.88
GET       0.520        66.83
GET       0.530        67.77
GET       0.540        68.54
GET       0.550        69.36
GET       0.560        70.06
GET       0.570        70.70
GET       0.580        71.34
GET       0.590        71.85
GET       0.600        72.34
GET       0.610        72.82
GET       0.620        73.28
GET       0.630        73.71
GET       0.640        74.10
GET       0.650        74.50
GET       0.660        74.89
GET       0.670        75.20
GET       0.680        75.61
GET       0.690        75.88
GET       0.700        76.18
GET       0.710        76.46
GET       0.720        76.78
GET       0.730        77.03
GET       0.740        77.30
GET       0.750        77.58
GET       0.760        77.85
GET       0.770        78.12
GET       0.780        78.35
GET       0.790        78.64
GET       0.800        78.89
GET       0.810        79.16
GET       0.820        79.41
GET       0.830        79.66
GET       0.840        79.90
GET       0.850        80.16
GET       0.860        80.44
GET       0.870        80.67
GET       0.880        80.90
GET       0.890        81.12
GET       0.900        81.40
GET       0.910        81.66
GET       0.920        81.90
GET       0.930        82.14
