4         Threads
5         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          929.38          ---          ---      2.36700        88.95 
Gets         9283.71      9269.71        14.00      1.91000       869.89 
Waits           0.00          ---          ---      0.00000          --- 
Totals      10213.09      9269.71        14.00      1.95200       958.84 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.910         0.01
SET       0.920         0.02
SET       0.940         0.04
SET       0.960         0.06
SET       0.970         0.09
SET       0.980         0.11
SET       0.990         0.13
SET       1.000         0.24
SET       1.100         0.58
SET       1.200         1.75
SET       1.300         3.50
SET       1.400         6.34
SET       1.500         9.93
SET       1.600        14.70
SET       1.700        20.90
SET       1.800        26.93
SET       1.900        33.28
SET       2.000        39.63
SET       2.100        45.07
SET       2.200        50.33
SET       2.300        55.89
SET       2.400        61.04
SET       2.500        65.68
SET       2.600        69.75
SET       2.700        73.11
SET       2.800        76.59
SET       2.900        79.86
SET       3.000        82.84
SET       3.100        85.70
SET       3.200        88.33
SET       3.300        90.47
SET       3.400        91.92
SET       3.500        93.08
SET       3.600        94.48
SET       3.700        95.49
SET       3.800        96.21
SET       3.900        96.64
SET       4.000        97.21
SET       4.100        97.77
SET       4.200        98.18
SET       4.300        98.44
SET       4.400        98.74
SET       4.500        99.01
SET       4.600        99.17
SET       4.700        99.30
SET       4.800        99.40
SET       4.900        99.48
SET       5.000        99.56
SET       5.100        99.61
SET       5.200        99.63
SET       5.300        99.68
SET       5.400        99.71
SET       5.500        99.72
SET       5.600        99.76
SET       5.700        99.82
SET       5.800        99.84
SET       5.900        99.86
SET       6.000        99.88
SET       6.100        99.91
SET       6.200        99.94
SET       6.300        99.95
SET       6.400        99.96
SET       6.500        99.98
SET      15.000       100.00
---
GET       0.290         0.00
GET       0.320         0.00
GET       0.340         0.00
GET       0.350         0.01
GET       0.360         0.01
GET       0.380         0.01
GET       0.390         0.01
GET       0.400         0.02
GET       0.410         0.03
GET       0.420         0.05
GET       0.430         0.06
GET       0.440         0.09
GET       0.450         0.10
GET       0.460         0.13
GET       0.470         0.16
GET       0.480         0.21
GET       0.490         0.25
GET       0.500         0.32
GET       0.510         0.38
GET       0.520         0.47
GET       0.530         0.57
GET       0.540         0.66
GET       0.550         0.76
GET       0.560         0.87
GET       0.570         1.02
GET       0.580         1.15
GET       0.590         1.32
GET       0.600         1.49
GET       0.610         1.69
GET       0.620         1.89
GET       0.630         2.09
GET       0.640         2.29
GET       0.650         2.50
GET       0.660         2.74
GET       0.670         2.95
GET       0.680         3.22
GET       0.690         3.46
GET       0.700         3.73
GET       0.710         4.01
GET       0.720         4.28
GET       0.730         4.58
GET       0.740         4.86
GET       0.750         5.17
GET       0.760         5.51
GET       0.770         5.82
GET       0.780         6.11
GET       0.790         6.43
GET       0.800         6.73
GET       0.810         7.06
GET       0.820         7.39
GET       0.830         7.72
GET       0.840         8.07
GET       0.850         8.43
GET       0.860         8.76
GET       0.870         9.11
GET       0.880         9.44
GET       0.890         9.76
GET       0.900        10.06
GET       0.910        10.40
GET       0.920        10.72
GET       0.930        11.03
GET       0.940        11.36
GET       0.950        11.67
GET       0.960        11.97
GET       0.970        12.28
GET       0.980        12.60
GET       0.990        12.88
GET       1.000        14.67
GET       1.100        17.86
GET       1.200        21.38
GET       1.300        25.22
GET       1.400        29.58
GET       1.500        34.40
GET       1.600        39.59
GET       1.700        45.16
GET       1.800        50.56
GET       1.900        55.89
GET       2.000        60.75
GET       2.100        65.37
GET       2.200        69.91
GET       2.300        74.18
GET       2.400        77.96
GET       2.500        81.20
GET       2.600        83.87
GET       2.700        86.12
GET       2.800        88.19
GET       2.900        89.97
GET       3.000        91.58
GET       3.100        93.00
GET       3.200        94.24
GET       3.300        95.28
GET       3.400        96.04
GET       3.500        96.71
GET       3.600        97.31
GET       3.700        97.81
GET       3.800        98.15
GET       3.900        98.46
GET       4.000        98.72
GET       4.100        98.94
GET       4.200        99.11
GET       4.300        99.27
GET       4.400        99.40
GET       4.500        99.51
GET       4.600        99.60
GET       4.700        99.67
GET       4.800        99.72
GET       4.900        99.76
GET       5.000        99.80
GET       5.100        99.84
GET       5.200        99.86
GET       5.300        99.88
GET       5.400        99.89
GET       5.500        99.91
GET       5.600        99.92
GET       5.700        99.92
GET       5.800        99.93
GET       5.900        99.94
GET       6.000        99.95
GET       6.100        99.95
GET       6.200        99.96
GET       6.300        99.97
GET       6.400        99.98
GET       6.500        99.98
GET      14.000        99.98
GET      15.000        99.99
GET      16.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          808.84          ---          ---      2.76200        77.41 
Gets         8077.30      8067.30        10.00      2.19200       756.92 
Waits           0.00          ---          ---      0.00000          --- 
Totals       8886.14      8067.30        10.00      2.24400       834.33 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.890         0.01
SET       0.900         0.02
SET       0.930         0.05
SET       0.970         0.07
SET       0.990         0.12
SET       1.000         0.21
SET       1.100         0.45
SET       1.200         1.32
SET       1.300         2.57
SET       1.400         4.39
SET       1.500         7.18
SET       1.600        10.32
SET       1.700        14.29
SET       1.800        18.70
SET       1.900        23.27
SET       2.000        27.96
SET       2.100        32.62
SET       2.200        37.12
SET       2.300        41.91
SET       2.400        46.30
SET       2.500        50.20
SET       2.600        54.33
SET       2.700        57.84
SET       2.800        61.19
SET       2.900        64.33
SET       3.000        67.20
SET       3.100        69.95
SET       3.200        72.48
SET       3.300        74.97
SET       3.400        77.35
SET       3.500        79.80
SET       3.600        81.89
SET       3.700        83.83
SET       3.800        85.42
SET       3.900        86.91
SET       4.000        88.47
SET       4.100        89.66
SET       4.200        90.72
SET       4.300        91.78
SET       4.400        92.93
SET       4.500        93.82
SET       4.600        94.51
SET       4.700        95.12
SET       4.800        95.73
SET       4.900        96.23
SET       5.000        96.81
SET       5.100        97.28
SET       5.200        97.68
SET       5.300        98.12
SET       5.400        98.32
SET       5.500        98.52
SET       5.600        98.76
SET       5.700        98.90
SET       5.800        98.95
SET       5.900        99.10
SET       6.000        99.16
SET       6.100        99.26
SET       6.200        99.31
SET       6.300        99.39
SET       6.400        99.53
SET       6.500        99.62
