4         Threads
11        Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1708.29          ---          ---      2.87300       163.50 
Gets        17059.41     17034.97        24.44      2.57200      1598.52 
Waits           0.00          ---          ---      0.00000          --- 
Totals      18767.69     17034.97        24.44      2.60000      1762.02 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.200         0.01
SET       1.300         0.10
SET       1.400         0.31
SET       1.500         0.83
SET       1.600         2.06
SET       1.700         4.01
SET       1.800         6.81
SET       1.900        10.31
SET       2.000        14.49
SET       2.100        19.16
SET       2.200        23.90
SET       2.300        29.43
SET       2.400        34.64
SET       2.500        40.16
SET       2.600        45.60
SET       2.700        51.03
SET       2.800        56.42
SET       2.900        61.20
SET       3.000        65.95
SET       3.100        70.38
SET       3.200        74.77
SET       3.300        78.90
SET       3.400        82.29
SET       3.500        85.16
SET       3.600        87.78
SET       3.700        89.76
SET       3.800        91.17
SET       3.900        92.42
SET       4.000        93.43
SET       4.100        94.15
SET       4.200        94.85
SET       4.300        95.25
SET       4.400        95.62
SET       4.500        96.03
SET       4.600        96.31
SET       4.700        96.63
SET       4.800        97.05
SET       4.900        97.38
SET       5.000        97.61
SET       5.100        97.73
SET       5.200        97.92
SET       5.300        98.07
SET       5.400        98.23
SET       5.500        98.38
SET       5.600        98.50
SET       5.700        98.64
SET       5.800        98.77
SET       5.900        98.89
SET       6.000        99.04
SET       6.100        99.16
SET       6.200        99.25
SET       6.300        99.29
SET       6.400        99.35
SET       6.500        99.40
SET       6.600        99.45
SET       6.700        99.48
SET       6.800        99.51
SET       6.900        99.52
SET       7.000        99.54
SET       7.100        99.55
SET       7.200        99.57
SET       7.600        99.58
SET       8.200        99.58
SET       9.300        99.59
SET       9.900        99.62
SET      10.000        99.68
SET      11.000        99.84
SET      12.000        99.88
SET      13.000        99.93
SET      14.000        99.94
SET      25.000        99.99
SET      26.000       100.00
---
GET       0.490         0.00
GET       0.530         0.00
GET       0.550         0.00
GET       0.570         0.00
GET       0.590         0.00
GET       0.600         0.01
GET       0.610         0.01
GET       0.620         0.01
GET       0.630         0.01
GET       0.640         0.01
GET       0.650         0.01
GET       0.660         0.01
GET       0.670         0.01
GET       0.680         0.01
GET       0.690         0.02
GET       0.700         0.02
GET       0.710         0.02
GET       0.720         0.02
GET       0.730         0.03
GET       0.740         0.03
GET       0.750         0.03
GET       0.760         0.04
GET       0.770         0.05
GET       0.780         0.05
GET       0.790         0.06
GET       0.800         0.07
GET       0.810         0.07
GET       0.820         0.08
GET       0.830         0.09
GET       0.840         0.10
GET       0.850         0.11
GET       0.860         0.12
GET       0.870         0.13
GET       0.880         0.14
GET       0.890         0.15
GET       0.900         0.17
GET       0.910         0.18
GET       0.920         0.20
GET       0.930         0.21
GET       0.940         0.22
GET       0.950         0.24
GET       0.960         0.26
GET       0.970         0.28
GET       0.980         0.30
GET       0.990         0.32
GET       1.000         0.48
GET       1.100         0.96
GET       1.200         1.73
GET       1.300         2.84
GET       1.400         4.40
GET       1.500         6.57
GET       1.600         9.44
GET       1.700        13.12
GET       1.800        17.49
GET       1.900        22.40
GET       2.000        27.61
GET       2.100        32.98
GET       2.200        38.38
GET       2.300        43.87
GET       2.400        49.18
GET       2.500        54.47
GET       2.600        59.70
GET       2.700        64.59
GET       2.800        69.03
GET       2.900        73.18
GET       3.000        77.07
GET       3.100        80.59
GET       3.200        83.64
GET       3.300        86.24
GET       3.400        88.53
GET       3.500        90.47
GET       3.600        92.04
GET       3.700        93.28
GET       3.800        94.23
GET       3.900        95.02
GET       4.000        95.65
GET       4.100        96.17
GET       4.200        96.59
GET       4.300        96.93
GET       4.400        97.21
GET       4.500        97.46
GET       4.600        97.72
GET       4.700        97.96
GET       4.800        98.19
GET       4.900        98.40
GET       5.000        98.56
GET       5.100        98.70
