4         Threads
3         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          739.52          ---          ---      2.02600        72.02 
Gets         7388.11      4717.20      2670.92      1.40800       613.25 
Waits           0.00          ---          ---      0.00000          --- 
Totals       8127.63      4717.20      2670.92      1.46400       685.27 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.780         0.04
SET       0.800         0.07
SET       0.810         0.09
SET       0.830         0.11
SET       0.840         0.15
SET       0.850         0.16
SET       0.860         0.22
SET       0.870         0.27
SET       0.880         0.38
SET       0.890         0.46
SET       0.900         0.51
SET       0.910         0.65
SET       0.920         0.73
SET       0.930         0.77
SET       0.940         0.88
SET       0.950         1.04
SET       0.960         1.22
SET       0.970         1.43
SET       0.980         1.53
SET       0.990         1.80
SET       1.000         3.04
SET       1.100         5.80
SET       1.200         8.88
SET       1.300        12.67
SET       1.400        18.33
SET       1.500        25.95
SET       1.600        32.99
SET       1.700        39.97
SET       1.800        47.24
SET       1.900        53.50
SET       2.000        59.59
SET       2.100        64.90
SET       2.200        69.82
SET       2.300        74.68
SET       2.400        78.80
SET       2.500        82.15
SET       2.600        84.76
SET       2.700        86.80
SET       2.800        88.72
SET       2.900        90.54
SET       3.000        92.21
SET       3.100        93.65
SET       3.200        94.78
SET       3.300        95.80
SET       3.400        96.51
SET       3.500        97.24
SET       3.600        97.63
SET       3.700        98.00
SET       3.800        98.27
SET       3.900        98.50
SET       4.000        98.73
SET       4.100        98.90
SET       4.200        98.99
SET       4.300        99.03
SET       4.400        99.12
SET       4.500        99.22
SET       4.600        99.28
SET       4.700        99.31
SET       4.800        99.43
SET       4.900        99.54
SET       5.000        99.59
SET       5.100        99.63
SET       5.200        99.66
SET       5.300        99.69
SET       5.400        99.70
SET       5.600        99.73
SET       5.900        99.74
SET       6.000        99.78
SET       6.100        99.80
SET       6.200        99.84
SET       6.300        99.86
SET       6.600        99.88
SET       6.900        99.89
SET       7.300        99.91
SET       7.800        99.92
SET      13.000        99.93
SET      14.000        99.95
SET      15.000        99.97
SET      16.000       100.00
---
GET       0.240         0.00
GET       0.250         0.01
GET       0.260         0.01
GET       0.270         0.02
GET       0.280         0.02
GET       0.290         0.04
GET       0.300         0.05
GET       0.310         0.08
GET       0.320         0.12
GET       0.330         0.19
GET       0.340         0.27
GET       0.350         0.37
GET       0.360         0.49
GET       0.370         0.64
GET       0.380         0.81
GET       0.390         1.01
GET       0.400         1.24
GET       0.410         1.49
GET       0.420         1.76
GET       0.430         2.09
GET       0.440         2.43
GET       0.450         2.85
GET       0.460         3.30
GET       0.470         3.80
GET       0.480         4.32
GET       0.490         4.86
GET       0.500         5.42
GET       0.510         6.05
GET       0.520         6.64
GET       0.530         7.21
GET       0.540         7.88
GET       0.550         8.52
GET       0.560         9.19
GET       0.570         9.84
GET       0.580        10.46
GET       0.590        11.12
GET       0.600        11.77
GET       0.610        12.45
GET       0.620        13.17
GET       0.630        13.86
GET       0.640        14.53
GET       0.650        15.19
GET       0.660        15.86
GET       0.670        16.55
GET       0.680        17.19
GET       0.690        17.86
GET       0.700        18.50
GET       0.710        19.15
GET       0.720        19.83
GET       0.730        20.45
GET       0.740        21.14
GET       0.750        21.76
GET       0.760        22.37
GET       0.770        22.97
GET       0.780        23.57
GET       0.790        24.17
GET       0.800        24.72
GET       0.810        25.31
GET       0.820        25.88
GET       0.830        26.43
GET       0.840        26.98
GET       0.850        27.53
GET       0.860        28.03
GET       0.870        28.59
GET       0.880        29.10
GET       0.890        29.63
GET       0.900        30.14
GET       0.910        30.59
GET       0.920        31.10
GET       0.930        31.62
GET       0.940        32.06
GET       0.950        32.54
GET       0.960        33.02
GET       0.970        33.51
GET       0.980        33.98
GET       0.990        34.51
GET       1.000        37.28
GET       1.100        41.91
GET       1.200        46.62
GET       1.300        51.41
GET       1.400        56.79
GET       1.500        62.37
GET       1.600        67.22
GET       1.700        71.52
GET       1.800        75.48
GET       1.900        78.93
GET       2.000        82.16
GET       2.100        85.16
GET       2.200        87.68
GET       2.300        90.09
GET       2.400        92.01
GET       2.500        93.50
GET       2.600        94.67
GET       2.700        95.56
GET       2.800        96.35
GET       2.900        97.00
GET       3.000        97.56
GET       3.100        97.93
GET       3.200        98.27
GET       3.300        98.58
GET       3.400        98.85
GET       3.500        99.09
GET       3.600        99.26
GET       3.700        99.36
GET       3.800        99.45
GET       3.900        99.52
GET       4.000        99.61
GET       4.100        99.67
GET       4.200        99.70
GET       4.300        99.74
GET       4.400        99.76
GET       4.500        99.79
GET       4.600        99.81
GET       4.700        99.83
GET       4.800        99.85
