4         Threads
3         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          784.08          ---          ---      1.93100        75.05 
Gets         7835.92      7818.82        17.10      1.33100       734.06 
Waits           0.00          ---          ---      0.00000          --- 
Totals       8620.00      7818.82        17.10      1.38500       809.11 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.740         0.01
SET       0.750         0.03
SET       0.760         0.04
SET       0.770         0.05
SET       0.780         0.08
SET       0.800         0.11
SET       0.810         0.13
SET       0.820         0.14
SET       0.830         0.18
SET       0.840         0.22
SET       0.850         0.31
SET       0.860         0.42
SET       0.870         0.52
SET       0.880         0.65
SET       0.890         0.77
SET       0.900         0.89
SET       0.910         1.07
SET       0.920         1.20
SET       0.930         1.42
SET       0.940         1.49
SET       0.950         1.71
SET       0.960         1.80
SET       0.970         1.94
SET       0.980         2.13
SET       0.990         2.27
SET       1.000         3.66
SET       1.100         6.33
SET       1.200         9.58
SET       1.300        14.70
SET       1.400        22.68
SET       1.500        31.09
SET       1.600        39.09
SET       1.700        46.73
SET       1.800        53.36
SET       1.900        59.13
SET       2.000        64.24
SET       2.100        69.05
SET       2.200        74.57
SET       2.300        78.93
SET       2.400        82.34
SET       2.500        85.08
SET       2.600        87.59
SET       2.700        89.62
SET       2.800        91.74
SET       2.900        93.22
SET       3.000        94.35
SET       3.100        95.29
SET       3.200        96.31
SET       3.300        96.98
SET       3.400        97.42
SET       3.500        97.79
SET       3.600        98.05
SET       3.700        98.46
SET       3.800        98.75
SET       3.900        98.98
SET       4.000        99.12
SET       4.100        99.21
SET       4.200        99.35
SET       4.300        99.39
SET       4.400        99.44
SET       4.500        99.53
SET       4.600        99.60
SET       4.700        99.67
SET       4.800        99.74
SET       4.900        99.77
SET       5.000        99.80
SET       5.100        99.82
SET       5.200        99.83
SET       5.300        99.85
SET       5.500        99.87
SET       5.600        99.89
SET       5.700        99.90
SET       5.900        99.91
SET       6.000        99.92
SET       6.400        99.95
SET       7.700        99.96
SET       8.300        99.97
SET      11.000        99.99
SET      13.000       100.00
---
GET       0.230         0.00
GET       0.240         0.01
GET       0.250         0.01
GET       0.260         0.01
GET       0.270         0.03
GET       0.280         0.04
GET       0.290         0.05
GET       0.300         0.09
GET       0.310         0.15
GET       0.320         0.22
GET       0.330         0.30
GET       0.340         0.42
GET       0.350         0.58
GET       0.360         0.78
GET       0.370         0.99
GET       0.380         1.26
GET       0.390         1.54
GET       0.400         1.90
GET       0.410         2.31
GET       0.420         2.73
GET       0.430         3.27
GET       0.440         3.82
GET       0.450         4.42
GET       0.460         5.07
GET       0.470         5.73
GET       0.480         6.48
GET       0.490         7.21
GET       0.500         7.95
GET       0.510         8.78
GET       0.520         9.63
GET       0.530        10.44
GET       0.540        11.21
GET       0.550        11.94
GET       0.560        12.65
GET       0.570        13.42
GET       0.580        14.20
GET       0.590        14.93
GET       0.600        15.67
GET       0.610        16.44
GET       0.620        17.14
GET       0.630        17.84
GET       0.640        18.56
GET       0.650        19.23
GET       0.660        19.91
GET       0.670        20.58
GET       0.680        21.20
GET       0.690        21.82
GET       0.700        22.44
GET       0.710        23.08
GET       0.720        23.64
GET       0.730        24.20
GET       0.740        24.73
GET       0.750        25.34
GET       0.760        25.83
GET       0.770        26.40
GET       0.780        26.97
GET       0.790        27.52
GET       0.800        28.07
GET       0.810        28.58
GET       0.820        29.19
GET       0.830        29.80
GET       0.840        30.33
GET       0.850        30.89
GET       0.860        31.47
GET       0.870        32.03
GET       0.880        32.61
GET       0.890        33.12
GET       0.900        33.65
GET       0.910        34.20
GET       0.920        34.78
GET       0.930        35.36
GET       0.940        35.90
GET       0.950        36.43
GET       0.960        36.94
GET       0.970        37.44
GET       0.980        37.97
GET       0.990        38.48
GET       1.000        41.26
GET       1.100        45.71
GET       1.200        50.34
GET       1.300        55.56
GET       1.400        61.02
GET       1.500        66.28
GET       1.600        70.90
GET       1.700        75.01
GET       1.800        78.58
GET       1.900        81.74
GET       2.000        84.71
GET       2.100        87.44
GET       2.200        89.91
GET       2.300        91.82
GET       2.400        93.38
GET       2.500        94.57
GET       2.600        95.59
GET       2.700        96.34
GET       2.800        97.00
GET       2.900        97.58
GET       3.000        97.99
GET       3.100        98.34
GET       3.200        98.62
GET       3.300        98.82
GET       3.400        99.03
GET       3.500        99.19
GET       3.600        99.30
GET       3.700        99.42
GET       3.800        99.53
GET       3.900        99.63
GET       4.000        99.68
