4         Threads
7         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1168.00          ---          ---      2.53600       111.79 
Gets        11665.35     11651.35        14.00      2.14000      1093.17 
Waits           0.00          ---          ---      0.00000          --- 
Totals      12833.36     11651.35        14.00      2.17600      1204.96 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.950         0.02
SET       0.960         0.03
SET       0.980         0.03
SET       1.000         0.05
SET       1.100         0.26
SET       1.200         0.87
SET       1.300         1.88
SET       1.400         3.79
SET       1.500         6.56
SET       1.600        10.03
SET       1.700        13.99
SET       1.800        18.52
SET       1.900        23.98
SET       2.000        29.82
SET       2.100        35.91
SET       2.200        41.83
SET       2.300        47.14
SET       2.400        51.80
SET       2.500        57.03
SET       2.600        61.68
SET       2.700        66.21
SET       2.800        70.46
SET       2.900        74.61
SET       3.000        78.15
SET       3.100        81.48
SET       3.200        84.38
SET       3.300        87.19
SET       3.400        89.27
SET       3.500        91.04
SET       3.600        92.57
SET       3.700        93.70
SET       3.800        94.50
SET       3.900        95.26
SET       4.000        95.86
SET       4.100        96.29
SET       4.200        96.65
SET       4.300        97.04
SET       4.400        97.36
SET       4.500        97.59
SET       4.600        97.78
SET       4.700        97.93
SET       4.800        98.19
SET       4.900        98.39
SET       5.000        98.54
SET       5.100        98.72
SET       5.200        98.84
SET       5.300        98.93
SET       5.400        99.04
SET       5.500        99.25
SET       5.600        99.34
SET       5.700        99.42
SET       5.800        99.49
SET       5.900        99.53
SET       6.000        99.57
SET       6.100        99.61
SET       6.200        99.64
SET       6.300        99.73
SET       6.400        99.76
SET       6.500        99.77
SET       6.600        99.79
SET       6.700        99.80
SET       6.800        99.85
SET       6.900        99.89
SET       7.000        99.91
SET       7.300        99.92
SET       7.400        99.93
SET       8.200        99.95
SET       8.300        99.96
SET      11.000        99.97
SET      14.000       100.00
---
GET       0.370         0.00
GET       0.380         0.00
GET       0.420         0.00
GET       0.430         0.01
GET       0.440         0.01
GET       0.450         0.01
GET       0.460         0.01
GET       0.470         0.02
GET       0.480         0.02
GET       0.490         0.03
GET       0.500         0.04
GET       0.510         0.05
GET       0.520         0.06
GET       0.530         0.08
GET       0.540         0.09
GET       0.550         0.11
GET       0.560         0.13
GET       0.570         0.15
GET       0.580         0.18
GET       0.590         0.22
GET       0.600         0.26
GET       0.610         0.30
GET       0.620         0.35
GET       0.630         0.39
GET       0.640         0.45
GET       0.650         0.50
GET       0.660         0.54
GET       0.670         0.62
GET       0.680         0.70
GET       0.690         0.76
GET       0.700         0.84
GET       0.710         0.93
GET       0.720         1.01
GET       0.730         1.11
GET       0.740         1.20
GET       0.750         1.33
GET       0.760         1.43
GET       0.770         1.56
GET       0.780         1.68
GET       0.790         1.80
GET       0.800         1.93
GET       0.810         2.06
GET       0.820         2.20
GET       0.830         2.36
GET       0.840         2.49
GET       0.850         2.64
GET       0.860         2.78
GET       0.870         2.93
GET       0.880         3.09
GET       0.890         3.26
GET       0.900         3.42
GET       0.910         3.57
GET       0.920         3.74
GET       0.930         3.93
GET       0.940         4.14
GET       0.950         4.33
GET       0.960         4.50
GET       0.970         4.71
GET       0.980         4.89
GET       0.990         5.08
GET       1.000         6.29
GET       1.100         8.59
GET       1.200        11.35
GET       1.300        14.69
GET       1.400        18.63
GET       1.500        23.15
GET       1.600        28.19
GET       1.700        33.44
GET       1.800        38.90
GET       1.900        44.59
GET       2.000        50.22
GET       2.100        55.75
GET       2.200        60.81
GET       2.300        65.39
GET       2.400        69.50
GET       2.500        73.42
GET       2.600        76.82
GET       2.700        79.94
GET       2.800        82.99
GET       2.900        85.77
GET       3.000        88.08
GET       3.100        90.19
GET       3.200        91.90
GET       3.300        93.35
GET       3.400        94.54
GET       3.500        95.51
GET       3.600        96.25
GET       3.700        96.80
GET       3.800        97.27
GET       3.900        97.65
GET       4.000        97.94
GET       4.100        98.17
GET       4.200        98.37
GET       4.300        98.54
GET       4.400        98.70
GET       4.500        98.85
GET       4.600        98.97
GET       4.700        99.09
GET       4.800        99.20
GET       4.900        99.29
GET       5.000        99.37
GET       5.100        99.45
GET       5.200        99.51
GET       5.300        99.57
GET       5.400        99.63
GET       5.500        99.68
GET       5.600        99.72
GET       5.700        99.75
GET       5.800        99.77
GET       5.900        99.79
GET       6.000        99.81
GET       6.100        99.83
GET       6.200        99.86
GET       6.300        99.88
GET       6.400        99.89
GET       6.500        99.89
GET       6.600        99.91
GET       6.700        99.92
GET       6.800        99.93
GET       6.900        99.94
GET       7.000        99.94
GET       7.100        99.95
GET       7.200        99.95
GET       7.300        99.95
GET       7.400        99.96
GET       7.600        99.96
GET       7.700        99.97
GET       7.800        99.97
GET       8.100        99.97
GET       8.200        99.97
GET       8.300        99.97
GET      10.000        99.98
GET      11.000        99.99
GET      12.000        99.99
GET      13.000        99.99
GET      14.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1049.97          ---          ---      2.55000       100.49 
Gets        10485.17     10472.44        12.73      2.16600       982.57 
Waits           0.00          ---          ---      0.00000          --- 
Totals      11535.14     10472.44        12.73      2.20100      1083.06 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.950         0.01
SET       0.990         0.02
SET       1.000         0.07
SET       1.100         0.28
SET       1.200         0.81
SET       1.300         2.03
SET       1.400         3.81
SET       1.500         6.32
SET       1.600         9.16
SET       1.700        13.46
SET       1.800        18.18
SET       1.900        23.31
SET       2.000        29.21
SET       2.100        35.68
SET       2.200        41.20
SET       2.300        46.91
SET       2.400        51.92
SET       2.500        56.99
SET       2.600        61.93
SET       2.700        66.25
SET       2.800        70.50
SET       2.900        74.49
SET       3.000        78.07
SET       3.100        81.60
SET       3.200        84.43
SET       3.300        86.75
SET       3.400        88.53
SET       3.500        90.36
SET       3.600        91.91
SET       3.700        92.96
SET       3.800        93.81
SET       3.900        94.68
SET       4.000        95.28
SET       4.100        95.74
SET       4.200        96.21
SET       4.300        96.55
SET       4.400        96.87
SET       4.500        97.22
SET       4.600        97.50
SET       4.700        97.78
SET       4.800        98.02
SET       4.900        98.28
SET       5.000        98.42
SET       5.100        98.60
SET       5.200        98.79
SET       5.300        98.91
SET       5.400        99.02
SET       5.500        99.09
SET       5.600        99.15
SET       5.700        99.22
SET       5.800        99.32
SET       5.900        99.38
SET       6.000        99.47
SET       6.100        99.54
SET       6.200        99.61
SET       6.300        99.71
SET       6.400        99.77
SET       6.500        99.81
SET       6.600        99.84
SET       6.700        99.87
SET       7.200        99.89
SET       7.300        99.90
SET       7.800        99.91
SET       9.400        99.92
SET       9.800        99.95
SET      10.000        99.96
SET      11.000        99.97
SET      12.000       100.00
---
GET       0.420         0.00
GET       0.430         0.00
GET       0.440         0.00
GET       0.470         0.00
GET       0.480         0.01
GET       0.490         0.01
GET       0.500         0.01
GET       0.510         0.02
GET       0.520         0.03
GET       0.530         0.04
GET       0.540         0.05
GET       0.550         0.06
GET       0.560         0.09
GET       0.570         0.11
GET       0.580         0.14
GET       0.590         0.16
GET       0.600         0.21
GET       0.610         0.24
GET       0.620         0.28
GET       0.630         0.33
GET       0.640         0.38
GET       0.650         0.44
GET       0.660         0.51
GET       0.670         0.57
GET       0.680         0.63
GET       0.690         0.70
GET       0.700         0.80
GET       0.710         0.88
GET       0.720         0.97
GET       0.730         1.07
GET       0.740         1.19
GET       0.750         1.30
GET       0.760         1.41
GET       0.770         1.53
GET       0.780         1.64
GET       0.790         1.77
GET       0.800         1.92
GET       0.810         2.05
GET       0.820         2.19
GET       0.830         2.34
GET       0.840         2.50
GET       0.850         2.64
GET       0.860         2.78
GET       0.870         2.93
GET       0.880         3.07
GET       0.890         3.22
GET       0.900         3.40
GET       0.910         3.55
GET       0.920         3.74
GET       0.930         3.93
GET       0.940         4.14
GET       0.950         4.33
GET       0.960         4.50
GET       0.970         4.70
GET       0.980         4.87
GET       0.990         5.06
GET       1.000         6.18
GET       1.100         8.42
GET       1.200        11.03
