4         Threads
3         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          761.33          ---          ---      2.01100        72.86 
Gets         7605.19      7605.19         0.00      1.36800       712.99 
Waits           0.00          ---          ---      0.00000          --- 
Totals       8366.52      7605.19         0.00      1.42700       785.85 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.670         0.01
SET       0.810         0.04
SET       0.820         0.07
SET       0.830         0.09
SET       0.840         0.12
SET       0.850         0.13
SET       0.860         0.17
SET       0.870         0.18
SET       0.880         0.24
SET       0.890         0.26
SET       0.900         0.32
SET       0.910         0.45
SET       0.920         0.50
SET       0.930         0.58
SET       0.940         0.67
SET       0.950         0.79
SET       0.960         0.95
SET       0.970         1.04
SET       0.980         1.23
SET       0.990         1.42
SET       1.000         2.57
SET       1.100         5.48
SET       1.200         9.27
SET       1.300        13.29
SET       1.400        19.55
SET       1.500        27.52
SET       1.600        35.17
SET       1.700        42.73
SET       1.800        49.61
SET       1.900        55.36
SET       2.000        60.96
SET       2.100        65.90
SET       2.200        70.62
SET       2.300        75.08
SET       2.400        78.80
SET       2.500        82.04
SET       2.600        84.87
SET       2.700        87.34
SET       2.800        89.40
SET       2.900        91.29
SET       3.000        92.90
SET       3.100        94.16
SET       3.200        95.06
SET       3.300        95.86
SET       3.400        96.45
SET       3.500        97.03
SET       3.600        97.44
SET       3.700        97.86
SET       3.800        98.19
SET       3.900        98.50
SET       4.000        98.71
SET       4.100        98.90
SET       4.200        99.00
SET       4.300        99.09
SET       4.400        99.17
SET       4.500        99.29
SET       4.600        99.41
SET       4.700        99.49
SET       4.800        99.51
SET       4.900        99.55
SET       5.000        99.59
SET       5.100        99.61
SET       5.200        99.62
SET       5.300        99.67
SET       5.400        99.70
SET       5.500        99.71
SET       5.600        99.72
SET       5.700        99.74
SET       5.900        99.75
SET       6.300        99.76
SET       6.400        99.78
SET       7.100        99.79
SET       7.200        99.80
SET       8.800        99.82
SET       9.100        99.83
SET       9.600        99.86
SET      10.000        99.87
SET      11.000        99.91
SET      14.000        99.97
SET      15.000        99.99
SET      17.000       100.00
---
GET       0.220         0.00
GET       0.230         0.00
GET       0.240         0.01
GET       0.260         0.01
GET       0.270         0.02
GET       0.280         0.04
GET       0.290         0.05
GET       0.300         0.09
GET       0.310         0.12
GET       0.320         0.17
GET       0.330         0.24
GET       0.340         0.32
GET       0.350         0.42
GET       0.360         0.55
GET       0.370         0.73
GET       0.380         0.91
GET       0.390         1.16
GET       0.400         1.44
GET       0.410         1.74
GET       0.420         2.12
GET       0.430         2.52
GET       0.440         3.01
GET       0.450         3.58
GET       0.460         4.12
GET       0.470         4.66
GET       0.480         5.29
GET       0.490         5.95
GET       0.500         6.66
GET       0.510         7.39
GET       0.520         8.10
GET       0.530         8.85
GET       0.540         9.63
GET       0.550        10.42
GET       0.560        11.15
GET       0.570        11.96
GET       0.580        12.79
GET       0.590        13.56
GET       0.600        14.36
GET       0.610        15.14
GET       0.620        15.93
GET       0.630        16.72
GET       0.640        17.48
GET       0.650        18.22
GET       0.660        18.97
GET       0.670        19.71
GET       0.680        20.38
GET       0.690        21.03
GET       0.700        21.73
GET       0.710        22.40
GET       0.720        23.07
GET       0.730        23.71
GET       0.740        24.37
GET       0.750        25.00
GET       0.760        25.61
GET       0.770        26.23
GET       0.780        26.80
GET       0.790        27.40
GET       0.800        28.06
GET       0.810        28.67
GET       0.820        29.29
GET       0.830        29.89
GET       0.840        30.46
GET       0.850        31.07
GET       0.860        31.64
GET       0.870        32.24
GET       0.880        32.78
GET       0.890        33.29
GET       0.900        33.80
GET       0.910        34.30
GET       0.920        34.82
GET       0.930        35.32
GET       0.940        35.82
GET       0.950        36.31
GET       0.960        36.76
GET       0.970        37.25
GET       0.980        37.69
GET       0.990        38.14
GET       1.000        40.64
GET       1.100        44.94
GET       1.200        49.28
GET       1.300        53.63
GET       1.400        58.61
GET       1.500        63.74
GET       1.600        68.50
GET       1.700        72.86
GET       1.800        76.70
GET       1.900        79.92
GET       2.000        82.87
GET       2.100        85.56
GET       2.200        88.04
GET       2.300        90.15
GET       2.400        92.01
GET       2.500        93.53
GET       2.600        94.77
GET       2.700        95.71
GET       2.800        96.54
GET       2.900        97.16
GET       3.000        97.73
GET       3.100        98.14
GET       3.200        98.46
GET       3.300        98.69
GET       3.400        98.94
GET       3.500        99.09
GET       3.600        99.23
GET       3.700        99.35
GET       3.800        99.46
GET       3.900        99.53
GET       4.000        99.61
GET       4.100        99.66
GET       4.200        99.70
GET       4.300        99.72
GET       4.400        99.76
GET       4.500        99.80
GET       4.600        99.82
GET       4.700        99.84
GET       4.800        99.85
GET       4.900        99.86
GET       5.000        99.88
GET       5.100        99.89
GET       5.200        99.90
GET       5.300        99.91
GET       5.400        99.92
GET       5.500        99.92
GET       5.600        99.93
GET       5.700        99.93
GET       5.800        99.93
GET       5.900        99.93
GET       6.100        99.94
GET       6.300        99.94
GET       6.500        99.94
GET       6.900        99.95
GET       7.000        99.95
GET       7.100        99.96
GET       8.800        99.96
GET       8.900        99.96
GET       9.000        99.96
GET       9.300        99.96
GET       9.700        99.97
GET      10.000        99.97
GET      11.000        99.98
GET      14.000        99.99
GET      15.000       100.00
GET      17.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          673.73          ---          ---      2.30800        64.48 
Gets         6731.44      6731.44         0.00      1.54300       631.07 
Waits           0.00          ---          ---      0.00000          --- 
Totals       7405.18      6731.44         0.00      1.61300       695.55 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.740         0.01
SET       0.780         0.03
SET       0.880         0.04
SET       0.890         0.07
SET       0.900         0.09
SET       0.910         0.13
SET       0.920         0.18
SET       0.930         0.25
SET       0.940         0.28
SET       0.950         0.34
SET       0.960         0.39
SET       0.970         0.45
SET       0.980         0.55
SET       0.990         0.67
SET       1.000         1.65
SET       1.100         4.04
SET       1.200         6.63
SET       1.300        10.03
SET       1.400        14.54
SET       1.500        20.23
SET       1.600        26.79
SET       1.700        33.36
SET       1.800        39.49
SET       1.900        44.78
SET       2.000        49.04
SET       2.100        53.55
SET       2.200        57.79
SET       2.300        62.24
SET       2.400        65.79
SET       2.500        68.85
SET       2.600        71.15
SET       2.700        73.52
SET       2.800        75.93
SET       2.900        78.09
SET       3.000        80.22
SET       3.100        82.12
SET       3.200        83.88
SET       3.300        85.68
SET       3.400        87.47
SET       3.500        89.05
SET       3.600        90.31
SET       3.700        91.41
SET       3.800        92.83
SET       3.900        93.92
SET       4.000        94.81
SET       4.100        95.47
SET       4.200        96.02
SET       4.300        96.54
SET       4.400        96.90
SET       4.500        97.28
SET       4.600        97.64
SET       4.700        97.95
SET       4.800        98.35
SET       4.900        98.71
SET       5.000        98.95
SET       5.100        99.14
SET       5.200        99.23
SET       5.300        99.35
SET       5.400        99.42
SET       5.500        99.45
SET       5.600        99.54
SET       5.700        99.58
SET       5.800        99.61
SET       5.900        99.64
SET       6.000        99.67
SET       6.100        99.75
SET       6.200        99.78
SET       6.300        99.81
SET       6.400        99.84
SET       6.500        99.88
SET       6.900        99.90
SET       7.000        99.91
SET       7.200        99.93
SET       7.300        99.96
SET      18.000        99.97
SET      19.000       100.00
---
GET       0.260         0.01
GET       0.270         0.01
GET       0.280         0.02
GET       0.290         0.02
GET       0.300         0.03
GET       0.310         0.06
GET       0.320         0.09
GET       0.330         0.13
GET       0.340         0.18
GET       0.350         0.24
GET       0.360         0.32
GET       0.370         0.43
GET       0.380         0.55
GET       0.390         0.70
GET       0.400         0.87
GET       0.410         1.07
GET       0.420         1.29
GET       0.430         1.56
GET       0.440         1.84
GET       0.450         2.16
GET       0.460         2.55
GET       0.470         2.98
GET       0.480         3.47
GET       0.490         4.00
GET       0.500         4.54
GET       0.510         5.04
GET       0.520         5.59
GET       0.530         6.15
GET       0.540         6.81
GET       0.550         7.42
